date,ticker,price
2025-01-01,AAPL,150.2954836027982
2025-01-02,AAPL,149.59611065756732
2025-01-03,AAPL,148.8759378804339
2025-01-04,AAPL,150.40285848169393
2025-01-05,AAPL,152.24582438883877
2025-01-06,AAPL,152.20286827879337
2025-01-07,AAPL,151.5025632433428
2025-01-08,AAPL,153.10280353453493
2025-01-09,AAPL,152.25883689941807
2025-01-10,AAPL,151.39567861034556
2025-01-11,AAPL,151.83648827880594
2025-01-12,AAPL,152.52467096991987
2025-01-13,AAPL,153.4342830593312
2025-01-14,AAPL,153.77919772641528
2025-01-15,AAPL,154.96707852888633
2025-01-16,AAPL,156.84572672014937
2025-01-17,AAPL,157.4447755732194
2025-01-18,AAPL,158.28319290600902
2025-01-19,AAPL,159.11294016887805
2025-01-20,AAPL,157.93846181186615
